Loading C:\Editor Test\famidash\LEVELS\LEVEL DATA\lvlset_HUGE\clubstep.tmx...
Map: 906x40  tiles=36240  sprites=36240
Config: C:\Users\kando\Documents\Famidash Editor\clubstep.tmx.cfg (46 offsets, 0 anchors)
Start: (0, 577)  speed=1  maxFall=0x7  bias=0.50
[BFS] Starting exhaustive BFS exploration (frontier cap=30000)

[BFS] f=116 front=36 dedup=36 deaths=0 Y=[471..572] mode=0 grav=N XΓëê320px pct=2% ms/f=0.7
[BFS] f=117 front=36 dedup=36 deaths=2 Y=[469..544] mode=0 grav=N XΓëê323px pct=2% ms/f=0.7
[BFS] f=118 front=38 dedup=38 deaths=0 Y=[466..549] mode=0 grav=N XΓëê326px pct=2% ms/f=0.7
[BFS] f=119 front=38 dedup=38 deaths=0 Y=[464..555] mode=0 grav=N XΓëê329px pct=2% ms/f=0.7
[BFS] f=120 front=36 dedup=36 deaths=2 Y=[462..562] mode=0 grav=N XΓëê331px pct=2% ms/f=0.7
[BFS] f=121 front=31 dedup=31 deaths=6 Y=[461..569] mode=0 grav=N XΓëê334px pct=2% ms/f=0.6
[BFS] f=122 front=31 dedup=31 deaths=0 Y=[460..576] mode=0 grav=N XΓëê337px pct=2% ms/f=0.6
[BFS] f=123 front=29 dedup=29 deaths=2 Y=[459..507] mode=0 grav=N XΓëê340px pct=2% ms/f=0.6
[BFS] f=124 front=26 dedup=26 deaths=0 Y=[459..510] mode=0 grav=N XΓëê342px pct=2% ms/f=0.6
[BFS] f=125 front=25 dedup=25 deaths=0 Y=[460..512] mode=0 grav=N XΓëê345px pct=2% ms/f=0.6
[BFS] f=126 front=24 dedup=24 deaths=0 Y=[461..516] mode=0 grav=N XΓëê348px pct=2% ms/f=0.6
[BFS] f=127 front=20 dedup=20 deaths=0 Y=[461..519] mode=0 grav=N XΓëê351px pct=2% ms/f=0.6
[BFS] f=128 front=20 dedup=20 deaths=0 Y=[462..523] mode=0 grav=N XΓëê354px pct=2% ms/f=0.6
[BFS] f=129 front=18 dedup=18 deaths=2 Y=[462..514] mode=0 grav=N XΓëê356px pct=2% ms/f=0.6
[BFS] f=130 front=17 dedup=17 deaths=0 Y=[463..518] mode=0 grav=N XΓëê359px pct=2% ms/f=0.6
[BFS] f=131 front=15 dedup=15 deaths=0 Y=[463..523] mode=0 grav=N XΓëê362px pct=2% ms/f=0.6
[BFS] f=132 front=14 dedup=14 deaths=0 Y=[463..528] mode=0 grav=N XΓëê365px pct=2% ms/f=0.6
[BFS] f=133 front=13 dedup=13 deaths=2 Y=[463..512] mode=0 grav=N XΓëê367px pct=2% ms/f=0.6
[BFS] f=134 front=6 dedup=6 deaths=12 Y=[464..480] mode=0 grav=N XΓëê370px pct=2% ms/f=0.6
[BFS] f=135 front=6 dedup=6 deaths=0 Y=[465..475] mode=0 grav=N XΓëê373px pct=2% ms/f=0.6
[BFS] f=136 front=5 dedup=5 deaths=0 Y=[466..476] mode=0 grav=N XΓëê376px pct=2% ms/f=0.6
[BFS] f=137 front=5 dedup=5 deaths=0 Y=[463..479] mode=0 grav=N XΓëê378px pct=2% ms/f=0.6
[BFS] f=138 front=5 dedup=5 deaths=0 Y=[460..479] mode=0 grav=N XΓëê381px pct=2% ms/f=0.6
[BFS] f=139 front=5 dedup=5 deaths=0 Y=[457..474] mode=0 grav=N XΓëê384px pct=2% ms/f=0.6
[BFS] f=140 front=5 dedup=5 deaths=0 Y=[455..476] mode=0 grav=N XΓëê387px pct=2% ms/f=0.6
[BFS] f=141 front=5 dedup=5 deaths=0 Y=[453..479] mode=0 grav=N XΓëê389px pct=2% ms/f=0.6
[BFS] f=142 front=5 dedup=5 deaths=0 Y=[452..475] mode=0 grav=N XΓëê392px pct=2% ms/f=0.6
[BFS] f=143 front=5 dedup=5 deaths=0 Y=[451..471] mode=0 grav=N XΓëê395px pct=2% ms/f=0.6
[BFS] f=144 front=5 dedup=5 deaths=0 Y=[451..467] mode=0 grav=N XΓëê398px pct=2% ms/f=0.6
[BFS] f=145 front=5 dedup=5 deaths=0 Y=[451..463] mode=0 grav=N XΓëê401px pct=2% ms/f=0.6
[BFS] f=146 front=5 dedup=5 deaths=0 Y=[451..460] mode=0 grav=N XΓëê403px pct=2% ms/f=0.5
[BFS] f=147 front=4 dedup=4 deaths=0 Y=[452..458] mode=0 grav=N XΓëê406px pct=2% ms/f=0.5
[BFS] f=148 front=3 dedup=3 deaths=0 Y=[451..456] mode=0 grav=N XΓëê409px pct=2% ms/f=0.5
[BFS] f=149 front=3 dedup=3 deaths=0 Y=[451..454] mode=0 grav=N XΓëê412px pct=2% ms/f=0.5
[BFS] f=150 front=3 dedup=3 deaths=0 Y=[451..455] mode=0 grav=N XΓëê414px pct=2% ms/f=0.5
[BFS] f=151 front=6 dedup=6 deaths=0 Y=[447..458] mode=0 grav=N XΓëê417px pct=2% ms/f=0.5
[BFS] f=152 front=8 dedup=8 deaths=0 Y=[443..460] mode=0 grav=N XΓëê420px pct=2% ms/f=0.5
[BFS] f=153 front=10 dedup=10 deaths=0 Y=[438..463] mode=0 grav=N XΓëê423px pct=2% ms/f=0.5
[BFS] f=154 front=12 dedup=12 deaths=0 Y=[433..466] mode=0 grav=N XΓëê425px pct=2% ms/f=0.5
[BFS] f=155 front=15 dedup=15 deaths=0 Y=[427..470] mode=0 grav=N XΓëê428px pct=2% ms/f=0.5
[BFS] f=156 front=17 dedup=17 deaths=0 Y=[421..474] mode=0 grav=N XΓëê431px pct=2% ms/f=0.5
[BFS] f=157 front=19 dedup=19 deaths=0 Y=[414..479] mode=0 grav=N XΓëê434px pct=2% ms/f=0.5
  Progress: 2%   
[BFS] f=158 front=22 dedup=22 deaths=0 Y=[407..484] mode=0 grav=N XΓëê436px pct=3% ms/f=0.5
