frame,worldX,worldY,X_screen,Y_screen,X_fixed,Y_fixed,VelX_fixed,VelY_fixed,scrollX,scrollY_linear,scrollY_raw,scrollY_subpx,gravity,mini,gamemode,cubedata,onGround,jblocked
233,854,872,80,145,0x5048,0x91D8,708,288,766,719,0x02EF,0,0,0,0,0x00,0,0
234,857,874,80,147,0x500C,0x9363,708,395,769,719,0x02EF,0,0,0,0,0x00,0,0
235,859,876,80,149,0x50D0,0x9559,708,502,771,719,0x02EF,0,0,0,0,0x00,0,0
236,862,878,80,151,0x5094,0x97BA,708,609,774,719,0x02EF,0,0,0,0,0x00,0,0
237,865,881,80,154,0x5058,0x9A86,708,716,777,719,0x02EF,0,0,0,0,0x00,0,0
238,868,884,80,157,0x501C,0x9DBD,708,823,780,719,0x02EF,0,0,0,0,0x00,0,0
239,870,888,80,161,0x50E0,0xA15F,708,930,782,719,0x02EF,0,0,0,0,0x00,0,0
240,873,892,80,165,0x50A4,0xA56C,708,1037,785,719,0x02EF,0,0,0,0,0x00,0,0
241,876,896,80,169,0x5068,0xA9E4,708,1144,788,719,0x02EF,0,0,0,0,0x00,0,0
242,879,901,80,174,0x502C,0xAEC7,708,1251,791,719,0x02EF,0,0,0,0,0x00,0,0
243,881,905,80,178,0x50F0,0xB200,708,0,793,719,0x02EF,0,0,0,0,0x00,0,0
244,884,905,80,178,0x50B4,0xB200,708,0,796,719,0x02EF,0,0,0,0,0x00,0,0
245,887,905,80,178,0x5078,0xB200,708,0,799,719,0x02EF,0,0,0,0,0x00,0,0
246,890,905,80,178,0x503C,0xB200,708,0,802,719,0x02EF,0,0,0,0,0x00,0,0
247,893,905,80,178,0x5000,0xB200,708,0,805,719,0x02EF,0,0,0,0,0x00,0,0
248,895,905,80,178,0x50C4,0xB200,708,0,807,719,0x02EF,0,0,0,0,0x00,0,0
249,898,905,80,178,0x5088,0xB200,708,0,810,719,0x02EF,0,0,0,0,0x00,0,0
250,901,905,80,178,0x504C,0xB200,708,0,813,719,0x02EF,0,0,0,0,0x00,0,0
251,904,905,80,178,0x5010,0xB200,708,0,816,719,0x02EF,0,0,0,0,0x00,0,0
252,906,905,80,178,0x50D4,0xB200,708,0,818,719,0x02EF,0,0,0,0,0x00,0,0
253,909,905,80,178,0x5098,0xB200,708,0,821,719,0x02EF,0,0,0,0,0x00,0,0
254,912,905,80,178,0x505C,0xB200,708,0,824,719,0x02EF,0,0,0,0,0x00,0,0
255,915,905,80,178,0x5020,0xB200,708,0,827,719,0x02EF,0,0,0,0,0x00,0,0
256,917,905,80,178,0x50E4,0xB200,708,0,829,719,0x02EF,0,0,0,0,0x00,0,0
257,920,905,80,178,0x50A8,0xB200,708,0,832,719,0x02EF,0,0,0,0,0x00,0,0
258,923,905,80,178,0x506C,0xB200,708,-1424,835,719,0x02EF,0,0,0,0,0x00,0,0
259,926,899,80,172,0x5030,0xACDB,708,-1317,838,719,0x02EF,0,0,0,0,0x00,0,0
260,928,895,80,168,0x50F4,0xA821,708,-1210,840,719,0x02EF,0,0,0,0,0x00,0,0
261,931,890,80,163,0x50B8,0xA3D2,708,-1103,843,719,0x02EF,0,0,0,0,0x00,0,0
262,934,886,80,159,0x507C,0x9FEE,708,-996,846,719,0x02EF,0,0,0,0,0x00,0,0
263,937,883,80,156,0x5040,0x9C75,708,-889,849,719,0x02EF,0,0,0,0,0x00,0,0
264,940,880,80,153,0x5004,0x9967,708,-782,852,719,0x02EF,0,0,0,0,0x00,0,0
265,942,877,80,150,0x50C8,0x96C4,708,-675,854,719,0x02EF,0,0,0,0,0x00,0,0
266,945,875,80,148,0x508C,0x948C,708,-568,857,719,0x02EF,0,0,0,0,0x00,0,0
