frame,X_fixed,Y_fixed,VelY_fixed,VelX_fixed,X_px,Y_px,gravity,mini,gamemode,onGround
319,0x5080,0xA3D2,0xFBB1,0x02C4,80,163,0,0,0,0
320,0x5044,0x9FEE,0xFC1C,0x02C4,80,159,0,0,0,0
321,0x5008,0x9C75,0xFC87,0x02C4,80,156,0,0,0,0
322,0x50CC,0x9967,0xFCF2,0x02C4,80,153,0,0,0,0
323,0x5090,0x96C4,0xFD5D,0x02C4,80,150,0,0,0,0
324,0x5054,0x948C,0xFDC8,0x02C4,80,148,0,0,0,0
325,0x5018,0x92BF,0xFE33,0x02C4,80,146,0,0,0,0
326,0x50DC,0x915D,0xFE9E,0x02C4,80,145,0,0,0,0
327,0x50A0,0x9066,0xFF09,0x02C4,80,144,0,0,0,0
328,0x5064,0x8FDA,0xFF74,0x02C4,80,143,0,0,0,0
329,0x5028,0x8FB9,0xFFDF,0x02C4,80,143,0,0,0,0
330,0x50EC,0x9003,0x004A,0x02C4,80,144,0,0,0,0
331,0x50B0,0x90B8,0x00B5,0x02C4,80,144,0,0,0,0
332,0x5074,0x91D8,0x0120,0x02C4,80,145,0,0,0,0
333,0x5038,0x9363,0x018B,0x02C4,80,147,0,0,0,0
334,0x50FC,0x9559,0x01F6,0x02C4,80,149,0,0,0,0
335,0x50C0,0x97BA,0x0261,0x02C4,80,151,0,0,0,0
336,0x5084,0x9A86,0x02CC,0x02C4,80,154,0,0,0,0
337,0x5048,0x9DBD,0x0337,0x02C4,80,157,0,0,0,0
338,0x500C,0xA15F,0x03A2,0x02C4,80,161,0,0,0,0
339,0x50D0,0xA56C,0x040D,0x02C4,80,165,0,0,0,0
340,0x5094,0xA9E4,0x0478,0x02C4,80,169,0,0,0,0
341,0x5058,0xAEC7,0x04E3,0x02C4,80,174,0,0,0,0
342,0x501C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
343,0x50E0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
344,0x50A4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
345,0x5068,0xB200,0x0000,0x02C4,80,178,0,0,0,1
346,0x502C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
347,0x50F0,0xB200,0x0000,0x02C4,80,178,0,0,0,1
348,0x50B4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
349,0x5078,0xB200,0x0000,0x02C4,80,178,0,0,0,1
350,0x503C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
351,0x5000,0xB200,0x0000,0x02C4,80,178,0,0,0,1
352,0x50C4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
353,0x5088,0xB200,0x0000,0x02C4,80,178,0,0,0,1
354,0x504C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
355,0x5010,0xB200,0x0000,0x02C4,80,178,0,0,0,1
356,0x50D4,0xB200,0x0000,0x02C4,80,178,0,0,0,1
357,0x5098,0xB200,0x0000,0x02C4,80,178,0,0,0,1
358,0x505C,0xB200,0x0000,0x02C4,80,178,0,0,0,1
359,0x5020,0xB200,0x0000,0x02C4,80,178,0,0,0,1
360,0x50E4,0xB200,0xFA70,0x02C4,80,178,0,0,0,0
361,0x50A8,0xACDB,0xFADB,0x02C4,80,172,0,0,0,0
362,0x506C,0xA821,0xFB46,0x02C4,80,168,0,0,0,0
363,0x5030,0xA3D2,0xFBB1,0x02C4,80,163,0,0,0,0
364,0x50F4,0x9FEE,0xFC1C,0x02C4,80,159,0,0,0,0
365,0x50B8,0x9C75,0xFC87,0x02C4,80,156,0,0,0,0
366,0x507C,0x9967,0xFCF2,0x02C4,80,153,0,0,0,0
367,0x5040,0x96C4,0xFD5D,0x02C4,80,150,0,0,0,0
368,0x5004,0x948C,0xFDC8,0x02C4,80,148,0,0,0,0
369,0x50C8,0x92BF,0xFE33,0x02C4,80,146,0,0,0,0
370,0x508C,0x915D,0xFE9E,0x02C4,80,145,0,0,0,0
371,0x5050,0x9066,0xFF09,0x02C4,80,144,0,0,0,0
372,0x5014,0x8FDA,0xFF74,0x02C4,80,143,0,0,0,0
373,0x50D8,0x8FB9,0xFFDF,0x02C4,80,143,0,0,0,0
374,0x509C,0x9003,0x004A,0x02C4,80,144,0,0,0,0
375,0x5060,0x90B8,0x00B5,0x02C4,80,144,0,0,0,0
376,0x5024,0x91D8,0x0120,0x02C4,80,145,0,0,0,0
377,0x50E8,0x9363,0x018B,0x02C4,80,147,0,0,0,0
378,0x50AC,0x9559,0x01F6,0x02C4,80,149,0,0,0,0
379,0x5070,0x97BA,0x0261,0x02C4,80,151,0,0,0,0
380,0x5034,0x9A86,0x02CC,0x02C4,80,154,0,0,0,0
381,0x50F8,0x9DBD,0x0337,0x02C4,80,157,0,0,0,0
382,0x50BC,0xA15F,0x03A2,0x02C4,80,161,0,0,0,0
383,0x5080,0xA56C,0x040D,0x02C4,80,165,0,0,0,0
384,0x5044,0xA9E4,0x0478,0x02C4,80,169,0,0,0,0
