sim |  NES_y NES_vy | PF_y PF_vy onG mode mini | dy dvy  CHG
1314 |   296    512 |  298    583 0 2 0 |  -2   -71  CHG (was -1876)
1326 |   342   1364 |  344      0 1 2 0 |  -2 +1364  CHG (was -71)
1327 |   344      0 |  344      0 1 2 0 |  +0    +0  CHG (was 1364)
1405 |   344      0 |  344   -512 0 2 0 |  +0  +512  CHG (was 0)
1406 |   344   -512 |  342   -583 0 2 0 |  +2   +71  CHG (was 512)
1411 |   330   -867 |  328    512 0 2 0 |  +2 -1379  CHG (was 71)
1412 |   328    512 |  331    583 0 2 0 |  -3   -71  CHG (was -1379)
1419 |   350   1009 |  344   -512 0 2 0 |  +6 +1521  CHG (was -71)
1420 |   344   -512 |  342   -583 0 2 0 |  +2   +71  CHG (was 1521)
1425 |   330   -867 |  328      0 1 2 0 |  +2  -867  CHG (was 71)
1426 |   328      0 |  328      0 1 2 0 |  +0    +0  CHG (was -867)
1427 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was 0)
1429 |   328   -142 |  328      0 1 2 0 |  +0  -142  CHG (was 71)
1430 |   328      0 |  328      0 1 2 0 |  +0    +0  CHG (was -142)
1431 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was 0)
1433 |   328   -142 |  328      0 1 2 0 |  +0  -142  CHG (was 71)
1434 |   328      0 |  328      0 1 2 0 |  +0    +0  CHG (was -142)
1435 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was 0)
1437 |   328   -142 |  328      0 1 2 0 |  +0  -142  CHG (was 71)
1438 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -142)
1439 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1440 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1441 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1442 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1443 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1444 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1445 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1446 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1448 |   328   -142 |  328      0 1 2 0 |  +0  -142  CHG (was 71)
1449 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -142)
1450 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1451 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1452 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1453 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1454 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1455 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1456 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1457 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1459 |   328   -142 |  328      0 1 2 0 |  +0  -142  CHG (was 71)
1460 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -142)
1461 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1462 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1463 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1464 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1465 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1466 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1467 |   328    -71 |  328      0 1 2 0 |  +0   -71  CHG (was 71)
1468 |   328      0 |  328    -71 0 2 0 |  +0   +71  CHG (was -71)
1470 |   328   -142 |  331    793 0 2 0 |  -3  -935  CHG (was 71)
1471 |   331    793 |  334    722 0 2 0 |  -3   +71  CHG (was -935)
1503 |   283  -1479 |  287    969 0 2 0 |  -4 -2448  CHG (was 71)
1504 |   287    969 |  291    898 0 2 0 |  -4   +71  CHG (was -2448)
1532 |   281  -1019 |  285   1193 0 2 0 |  -4 -2212  CHG (was 71)
1533 |   285   1193 |  290   1122 0 2 0 |  -5   +71  CHG (was -2212)
1563 |   296   -937 |  296      0 1 2 0 |  +0  -937  CHG (was 71)
1564 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -937)
1565 |   296    -71 |  296      0 1 2 0 |  +0   -71  CHG (was 71)
1566 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was -71)
1568 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
1569 |   296      0 |  296      0 1 2 0 |  +0    +0  CHG (was -142)
1570 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was 0)
1572 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
1573 |   296      0 |  296      0 1 2 0 |  +0    +0  CHG (was -142)
1574 |   296      0 |  296    -71 0 2 0 |  +0   +71  CHG (was 0)
1576 |   296   -142 |  296      0 1 2 0 |  +0  -142  CHG (was 71)
1577 |   296      0 |  300   1193 0 2 0 |  -4 -1193  CHG (was -142)
1578 |   300   1193 |  305   1122 0 2 0 |  -5   +71  CHG (was -1193)
1589 |   333    412 |  335    277 0 2 0 |  -2  +135  CHG (was 71)
1590 |   335    277 |  336    348 0 2 0 |  -1   -71  CHG (was 135)
1594 |   342    561 |  342    228 0 1 0 |  +0  +333  CHG (was -71)
1595 |   342    228 |  343    176 0 1 0 |  -1   +52  CHG (was 333)
1598 |   344     72 |  344    106 0 1 0 |  +0   -34  CHG (was 52)
1599 |   344    106 |  345     54 0 1 0 |  -1   +52  CHG (was -34)
1601 |   345      2 |  345     36 0 1 0 |  +0   -34  CHG (was 52)
